yr,p10,p25,p50,p75,mean,n,grp,g_p10,g_p25,g_p50,g_mean
2018,13.292540653793958,15.952124894340626,21.94684517178647,37.53526031061364,30.732503199582315,8660,Foreign-born,NA,NA,NA,NA
2019,13.211260015931774,16.472136332522954,22.863325229541864,39.24136638395577,31.812123442182266,8502,Foreign-born,-0.00611475563469388,0.032598255193376335,0.041759079748444394,0.035129590179775017
2020,14.293339332885953,18.099968738059676,25.64573149695121,45.15395834707153,34.72734305385951,7143,Foreign-born,0.0819058375695636,0.09882339319415978,0.12169735764481793,0.09163863635118785
2021,14.20637503444995,18.24724692303162,24.02858685352069,42.30880959898958,33.252601237616084,7694,Foreign-born,-0.006084253400177597,0.008136930350727933,-0.06305706833212255,-0.042466301379757376
2022,14.297665286610611,17.71031594975257,23.61375459967009,41.71188029428348,32.58623802754914,7765,Foreign-born,0.006426006066944323,-0.02942531416075367,-0.017264113631793365,-0.020039431060001833
2023,14.3548817752989,17.704367770243323,24.153859768148436,42.4021123208829,34.531141966633704,7732,Foreign-born,0.0040018064167350875,-3.358595931389763e-4,0.02287248163770994,0.059684825767254646
2024,15.015176158702921,18.104724359381954,23.741181573475195,41.29173443643303,37.797387403482226,8304,Foreign-born,0.045997897700573276,0.022613436092958406,-0.01708539333400605,0.09458839907479999
2025,15.509482183865472,18.330732741503258,24.866869768130975,43.23855639138253,39.80263742266119,8202,Foreign-born,0.032920427968209154,0.012483392601566168,0.04741500296318257,0.053052609106898796
2026,14.993599365009267,18.46273768749262,24.989332275015443,43.38755323163171,39.80084752084477,7891,Foreign-born,-0.03326241409870401,0.0072012912877446045,0.004924725469122482,-4.496942746323729e-5
2018,12.163055186854242,14.866115642734076,20.38924987826587,29.888873750771374,24.973791771737663,33218,"Native, no BA",NA,NA,NA,NA
2019,12.620126257598299,15.729960711881919,21.084334505629382,30.46068522756166,25.53482341351665,31262,"Native, no BA",0.03757863988301691,0.058108324320082394,0.03409074053795602,0.022464816192385273
2020,12.97793619123259,16.807113828198272,22.21058215090837,32.32137274653514,26.77321626471692,26824,"Native, no BA",0.02835232598555515,0.06847780080612065,0.053416324094947676,0.0484981952350112
2021,12.805927013326606,16.647705117324588,21.88846076074502,31.35882630479229,26.163194853838952,26833,"Native, no BA",-0.01325397007439344,-0.009484597564052621,-0.014503059306357535,-0.022784763879186376
2022,13.566016786416974,16.95952422740958,21.479526578493545,29.901762000060746,25.567402424166072,26642,"Native, no BA",0.05935452953147191,0.018730456113166927,-0.018682637702184257,-0.022772158866731784
2023,13.43637396797807,16.79546745997259,21.86358916545525,30.17966836223025,25.966360686737367,25093,"Native, no BA",-0.009556439482568568,-0.009673429822509294,0.017880402789987482,0.015604176597705743
2024,13.860873716877538,17.16020132423191,21.72253799239342,30.76047744091669,26.753509792849492,25720,"Native, no BA",0.031593326436964775,0.021716207966736567,-0.0064514189319241355,0.030314186712894653
2025,13.958533965478926,17.322099021568125,22.44965763601694,31.277455737462038,27.210641603510673,24778,"Native, no BA",0.007045749827622627,0.009434487059752694,0.03347305199227346,0.017086797739837456
2026,14.044525901568647,17.245414323482116,22.29289825645817,30.98677202101915,27.16275544760865,24074,"Native, no BA",0.006160527767628654,-0.004426986474937444,-0.006982706912522119,-0.0017598319289848785
2018,13.314625498831422,17.280302849932145,25.875561767292794,40.766541396648265,32.33630872211869,54385,Native-born,NA,NA,NA,NA
2019,13.308066361556065,18.22156771212457,26.216601186469862,41.779312548963055,32.99011477130183,51634,Native-born,-4.92626493770465e-4,0.05447039154155342,0.01317998125969777,0.020218945050333836
2020,14.31990089181973,19.402014605892724,28.286381241004875,44.79887274150971,35.00349654700559,46529,Native-born,0.07603167152717405,0.06478294910830784,0.07894921388983134,0.06102985059801003
2021,14.693877551020408,18.969936989621598,27.74074701136564,43.63085507612968,34.23556737516398,46569,Native-born,0.026115869238614087,-0.022269729460975496,-0.019289644192741928,-0.021938641781410917
2022,14.698254330421635,18.662090481512372,27.144858882199813,42.40707829918821,33.28704032679765,46260,Native-born,2.978641536945936e-4,-0.016228124968345803,-0.02148060861236678,-0.027705895391540447
2023,15.27466729202087,19.09333411502609,27.395310951254704,42.86906661348226,34.97507843366312,44148,Native-born,0.03921642316436236,0.023108002500627167,0.009226501052806091,0.050711570938510864
2024,15.544015003576883,19.430018754471103,27.50850322272619,43.46317210549274,37.935413572707574,45453,Native-born,0.017633622154029638,0.017633622154029638,0.004131811888278714,0.08464127234651642
2025,15.554035313637604,19.735725307439328,28.163294646426564,44.288461962218776,38.67728463224075,44012,Native-born,6.446410440554828e-4,0.01573372402936446,0.023803237071780003,0.019556161108176484
2026,15.19115947019542,19.568273215844947,27.78809767667511,43.38755323163171,38.673515825419884,42595,Native-born,-0.023330012831076608,-0.008484719410401409,-0.013322197365820632,-9.74423839910088e-5
