yr,p10,p25,p50,p75,mean,n,grp,g_p10,g_p50
2018,12.367249926161264,15.233287858117327,20.27175864475707,29.41399982438355,24.796505491906508,83430,"Native, no BA (incl. imputed)",NA,NA
2019,12.721967275374245,15.693421252971977,20.89071477014944,29.94314931350115,25.089550727953668,80124,"Native, no BA (incl. imputed)",0.028681990849285244,0.03053292692750409
2020,12.97793619123259,16.724042582607495,22.007676348547726,31.42144121937331,26.266554419460373,67549,"Native, no BA (incl. imputed)",0.020120230646546444,0.05346689142461991
2021,12.83777735195543,16.82096972044677,21.693410278181535,30.52932813240494,25.697522687482955,67315,"Native, no BA (incl. imputed)",-0.010799778733066034,-0.01427983878847483
2022,13.488584352307962,16.92975333308625,21.37851809304997,29.39650866084327,25.195715925366407,64066,"Native, no BA (incl. imputed)",0.05069467887705681,-0.014515568603257978
2023,13.449308279991744,16.766910108525018,21.77520793314937,29.58693582735508,25.72591463823178,61561,"Native, no BA (incl. imputed)",-0.002911800919234153,0.018555534970796872
2024,13.83353028628064,17.09365073290214,21.588909727190114,30.44806536798194,26.455630465850476,60491,"Native, no BA (incl. imputed)",0.028568161149261195,-0.008555519034821546
2025,13.708333464496286,17.293589909056852,22.144230981109388,30.94027093596059,26.826073029412772,52582,"Native, no BA (incl. imputed)",-0.00905024380569841,0.025722524246783784
2026,13.994366880491617,17.0540671661905,22.063985972690357,30.42803735511381,26.7037553121647,36729,"Native, no BA (incl. imputed)",0.02086565932585005,-0.003623743289504433
2018,13.29343741195052,17.220238448306542,25.33969830594634,39.8554805549166,31.72554928617519,133619,Native-born (incl. imputed),NA,NA
2019,13.252049245181505,17.78990723912479,25.684568077803206,40.41023605500946,32.20252433010313,129023,Native-born (incl. imputed),-0.003113428490046477,0.01360986100516981
2020,14.244659383480622,19.290600981287962,27.135100365363165,43.17450118883649,33.94686259133175,112667,Native-born (incl. imputed),0.07490238829742002,0.056474856153548414
2021,14.46227351878769,18.66565129367188,26.51416811777743,41.733861377167514,33.08193254732092,112288,Native-born (incl. imputed),0.015276892865506708,-0.022882990636671097
2022,14.611883159536909,18.53861346412599,26.048281717473923,40.69805035925092,32.43787718436295,107628,Native-born (incl. imputed),0.010344821687604311,-0.0175712244952968
2023,15.115920713975331,18.773916546725193,26.43474601071263,41.37289507298381,34.21924885769531,103833,Native-born (incl. imputed),0.034495044131902075,0.014836460133163198
2024,15.390555562670494,19.19197899259967,26.664522764105975,42.12994596728744,37.006139449940264,102959,Native-born (incl. imputed),0.018168582244629805,0.008692224744668575
2025,15.470135467980295,19.31803799934538,26.960327876971846,42.179487583065495,37.52963797268766,90122,Native-born (incl. imputed),0.005170697379035527,0.011093583616057279
2026,15.047706323109265,19.111825115608674,26.777637032208872,41.98207822202595,37.574767408912244,62974,Native-born (incl. imputed),-0.027306105091669308,-0.006776284234993213
