yr,grp,mean_dur,share_27plus,n
2015,Foreign-born,25.61279676312696,0.2768070341353702,3426
2016,Foreign-born,22.085847798551402,0.24552711071730032,3080
2017,Foreign-born,21.901022853901324,0.24063712498552456,2768
2018,Foreign-born,19.786055860349457,0.20999983738678993,2369
2019,Foreign-born,20.067517809959217,0.21885754658956644,2037
2020,Foreign-born,15.496433640117779,0.1539185501204259,4816
2021,Foreign-born,27.15394555975902,0.4053482171254774,3160
2022,Foreign-born,22.02465376890843,0.2222048825378529,1866
2023,Foreign-born,18.822161982171355,0.17784196029291802,2130
2024,Foreign-born,19.00883730362839,0.19520528608095303,2569
2025,Foreign-born,21.75957426484203,0.23692663537188036,2206
2026,Foreign-born,21.22477107764369,0.24328462040420246,1360
2015,Native,27.630927971069625,0.31275512586686766,18029
2016,Native,25.99178447079511,0.2865183650049575,16768
2017,Native,23.81003378136943,0.2632264866296895,14756
2018,Native,21.84027654224233,0.2377732533454721,12463
2019,Native,21.341075024062775,0.23030219157264162,11322
2020,Native,16.55101839876414,0.16798514355978608,19844
2021,Native,28.784323311391816,0.4177894589174951,14559
2022,Native,22.18994993870534,0.24029782238364858,9178
2023,Native,20.846416966663593,0.21680770757088594,8678
2024,Native,21.61040466947142,0.2411160154482248,9402
2025,Native,22.612910471585057,0.2608752269965351,8675
2026,Native,25.2872262825215,0.29068324920031935,6398
