STATEFIP,nat_epop_0,nat_lfpr_0,nat_unrate_0,for_epop_0,for_pop_0,nat_n_0,per_0,nat_epop_1,nat_lfpr_1,nat_unrate_1,for_epop_1,for_pop_1,nat_n_1,per_1,foreign_share,emp_tot,d_epop,d_lfpr,d_unrate,d_log_for_pop
1,0.7717303288510847,0.7966318804667,0.031258542654640994,0.745907575791022,1431798.5565000009,7991,pre,0.7744955233469253,0.7999894298478065,0.03186780418552779,0.7351706839766392,1780723.0999999999,5792,post,0.05213484970812862,81444329.85749972,0.0027651944958405617,0.0033575493811065504,6.092615308867927e-4,0.21808813195965548
2,0.7734874809533905,0.8068907412093849,0.041397500987465384,0.803541510733712,276060.2842999999,4880,pre,0.7953250711765264,0.8367067540735977,0.04945780907779212,0.8749359673220485,232067.6406999998,4342,post,0.08506686160049044,12136783.700199977,0.021837590223135916,0.02981601286421287,0.008060308090326734,-0.17359037932962096
4,0.8445217645308859,0.8713732067038941,0.030815088146420488,0.7778883705295616,7669072.0151000125,5184,pre,0.7983773784349351,0.837086344597387,0.04624250104219464,0.7751938995528527,6471058.192400017,4649,post,0.1898474443281598,128020988.64280038,-0.04614438609595084,-0.03428686210650711,0.015427412895774154,-0.1698559703212581
5,0.78561870757148,0.8112948396595697,0.03164833650225479,0.742098308076345,1251107.7337000014,7112,pre,0.8044222880710213,0.8329071381967985,0.034199310846879785,0.7948784091171666,1237142.1194999993,5446,post,0.07594280222822113,48326545.85579902,0.01880358049954134,0.02161229853722879,0.0025509743446249927,-0.011225368570634942
6,0.7916769783640117,0.8270796461396906,0.04280442390393271,0.7679682153875096,66597743.98669996,26608,pre,0.7963319179664562,0.8346001752704126,0.045852203771175694,0.7779502726714309,56146988.182300046,23016,post,0.33265377684973696,664741537.2165966,0.004654939602444452,0.007520529130721987,0.0030477798672429862,-0.1706976619368028
8,0.8536281082085988,0.8783040366267149,0.02809497325423779,0.7760034670048265,4264012.7547,5328,pre,0.8294888841294709,0.8586616418195363,0.03397468370457009,0.7727180528722519,3919257.0529999984,4295,post,0.1183932668779292,111601856.47570084,-0.02413922407912794,-0.019642394807178554,0.005879710450332299,-0.08430856956753097
9,0.8523371711157548,0.875858189705006,0.026854825205405868,0.800186478743557,4016100.418300001,3426,pre,0.8259255405074604,0.8643217174998089,0.04442347821991123,0.7950911008722422,3162162.451499999,3202,post,0.209929168992169,66706428.76179991,-0.026411630608294434,-0.011536472205197046,0.017568653014505362,-0.23905527298006568
10,0.8434469638701461,0.869903089071708,0.030412727042727263,0.7948357818206307,942464.8786999997,3543,pre,0.8256891363292422,0.8611755017040296,0.04120689139968559,0.8356405244837896,817021.5905000005,3125,post,0.15533157266350342,17331165.45940005,-0.017757827540903826,-0.008727587367678424,0.01079416435695833,-0.1428331335776516
11,0.8722658383561142,0.9094521374527563,0.04088868183959183,0.8584732654680282,738328.2871999996,6814,pre,0.838789075307846,0.8886291846788551,0.05608650968291402,0.8500460149857376,759452.2619000012,6099,post,0.1705221983022054,13358279.428599976,-0.03347676304826819,-0.020822952773901227,0.015197827843322187,0.028208906123511568
12,0.7929901410358561,0.8144031299505953,0.026292861762500893,0.803053727336368,29832599.60869991,13834,pre,0.7861572663545028,0.8198852684444157,0.04113746567724619,0.8210178926713149,30559084.589699965,10386,post,0.28712072409308076,380160162.2247056,-0.006832874681353296,0.005482138493820399,0.014844603914745295,0.0240602671356811
