state_name,arrests,population_2025,emp_start,emp_end,job_growth,arrests_per_100k
Texas,143233,31709821,14267.3,14463.7,0.013765744044072825,451.69917546995936
Florida,60247,23462518,9995.9,10029.8,0.0033913904700926256,256.77977103736265
California,50854,39355309,18024.8,18137.8,0.006269140295592779,129.21763617711653
Georgia,22266,11302748,4975,4977.7,5.427135678390815e-4,196.9963410667919
Arizona,20410,7623818,3275.6,3283.6,0.0024423006472096276,267.71363114911713
New York,19343,20002427,9961.8,9969.5,7.729526792348285e-4,96.70326505878512
New Jersey,17831,9548215,4374.1,4361.3,-0.002926316270775775,186.746946942439
Virginia,15571,8880107,4275.5,4234.7,-0.009542743538767384,175.34698624689995
Tennessee,14905,7315076,3371.5,3382.5,0.0032626427406199365,203.7572815374714
Pennsylvania,12843,13059432,6166.4,6200.9,0.005594836533471703,98.34271505835783
Alabama,10863,5193088,2195.9,2215.1,0.00874356755772121,209.18189716792784
North Carolina,10059,11197968,5031.5,5118.4,0.017271191493590354,89.82879751040545
Massachusetts,9732,7154084,3723,3713.1,-0.0026591458501209475,136.03418690638802
Oklahoma,9634,4123288,1792.4,1797.9,0.0030685114929702717,233.64848635360906
Louisiana,9401,4618189,1996.4,2016.5,0.010068122620717324,203.5646440628567
Maryland,9177,6265347,2839.9,2814.4,-0.008979189408077737,146.47233425379312
Indiana,8452,6973333,3266.6,3256.2,-0.003183738443641726,121.20459470385252
South Carolina,7991,5570274,2374,2415.5,0.01748104465037903,143.45793402622564
Illinois,7914,12719141,6158.9,6180,0.003425936449690692,62.2211830185702
Utah,7693,3538904,1761.9,1787.9,0.014756796639990855,217.38368715285864
Ohio,7101,11900510,5656.6,5686.6,0.0053035392285119,59.66971163420728
Minnesota,6973,5830405,3022.2,3067.1,0.014856726887697791,119.59718064182506
Colorado,6766,6012561,2977,2971.7,-0.0017803157541149695,112.53108284473123
Washington,6438,8001020,3635.9,3649,0.0036029593773205804,80.46474074555495
Michigan,6386,10127884,4477.7,4498.3,0.0046005761886682706,63.05364476923314
New Mexico,6136,2125498,894.7,901.9,0.00804739018665468,288.68528693040406
Arkansas,6037,3114791,1334.6,1343.3,0.006518807133223392,193.81717746070282
Missouri,5230,6270541,2969,3013.6,0.015021892893229971,83.40588156588083
Mississippi,4952,2954160,1190.4,1196.6,0.005208333333333259,167.6280228559049
Kentucky,4944,4606864,2027.5,2034,0.003205918618989001,107.31812356518446
Nevada,4902,3282188,1571.8,1615,0.027484412775162337,149.35159107278437
Kansas,3758,2977220,1459.2,1470.4,0.007675438596491224,126.22513620088539
Nebraska,3072,2018006,1062.3,1060.5,-0.0016944365998304844,152.22947800948066
West Virginia,2960,1766147,713.7,718.3,0.006445285133809486,167.59646847063127
Iowa,2797,3238387,1599.7,1583.4,-0.01018941051447142,86.37015897111742
Wisconsin,2620,5972787,3047.9,3045.5,-7.874274090358124e-4,43.865619182468755
Oregon,2504,4273586,1993.1,1965.5,-0.013847774823139813,58.59247947742248
Idaho,2190,2029733,872.7,887.9,0.017417210954508988,107.89596464165483
District of Columbia,1896,693645,765.5,721.1,-0.0580013063357282,273.33866747399605
Wyoming,1762,588753,294.4,295.3,0.0030570652173913526,299.27660665847986
Connecticut,1456,3688496,1716.8,1730.8,0.008154706430568481,39.4740837457869
Delaware,1153,1059952,495.7,495.8,2.017349203147223e-4,108.77851072501397
South Dakota,1028,935094,469.8,471.3,0.0031928480204341803,109.93547172797602
Rhode Island,882,1114521,516.8,514.6,-0.004256965944272273,79.13713604319703
Maine,803,1414874,662.5,660,-0.0037735849056603765,56.75417033601578
New Hampshire,725,1415342,704.3,704.8,7.09924747976709e-4,51.22436838587423
North Dakota,539,799358,448,447.5,-0.0011160714285713969,67.42911186226947
Hawaii,420,1432820,644,642.9,-0.0017080745341615522,29.312823662427938
Montana,340,1144694,526.1,522,-0.007793195210036186,29.702261040941945
Alaska,186,737270,337.9,340.8,0.008582420834566618,25.228206762787035
Vermont,164,644663,313.9,311,-0.009238611022618581,25.43964831237406
